model_setup,mae,mse,rmse,rmse_skill,imbalance_costs,META_SCEN
prediction_additive,2.2424478520603364,14.520858449292101,3.8106244172434653,0.4042240314497543,109.33619291619048,1
prediction_integrated,3.762550957913904,35.58223379818688,5.965084559181611,0.06738275893866963,183.54155015073513,1
prediction_direct,3.5792366763601944,31.27629011690624,5.592520908937779,0.12563160355484926,171.3289268272072,1
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,1
prediction_additive,2.193943402569489,13.842680786593046,3.7205753300522013,0.418302848006871,107.17288306553218,2
prediction_integrated,3.749487211129982,35.26013008441172,5.9380240892414475,0.0716135557642692,182.51712857979982,2
prediction_direct,3.5792366763601944,31.27629011690624,5.592520908937779,0.12563160355484926,171.3289268272072,2
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,2
prediction_additive,2.246948755979006,14.532644700322525,3.8121706022058515,0.4039822915817801,109.35748070001323,3
prediction_integrated,3.7763468866349887,35.66087049780832,5.971672336775379,0.06635278611879258,182.59965698915101,3
prediction_direct,3.5792366763601944,31.27629011690624,5.592520908937779,0.12563160355484926,171.3289268272072,3
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,3
prediction_additive,2.1523599209937228,13.044121233305193,3.611664606979058,0.4353306063004442,103.12548855284219,4
prediction_integrated,3.7760358523934405,35.93087161008625,5.9942365327109215,0.06282496384713987,185.50614711946676,4
prediction_direct,3.5792366763601944,31.27629011690624,5.592520908937779,0.12563160355484926,171.3289268272072,4
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,4
prediction_additive,2.276377895746682,14.534420514211623,3.812403508839486,0.40394587755613975,107.6929969621292,5
prediction_integrated,3.754062021472865,34.61428445196495,5.883390557490209,0.08015529111533815,180.655128634187,5
prediction_direct,3.5792366763601944,31.27629011690624,5.592520908937779,0.12563160355484926,171.3289268272072,5
24h_persistance,3.537106432109115,40.90970324450936,6.396069358950805,0.0,168.12174043212957,5
